,beta1,beta2,alpha
Q1,-0.612,3.557,0.801
Q2,6.385,-1.73,1.647
Q3,-12.562,-2.472,1.173
Q4,3.745,11.844,-2.754
Q5,-7.431,-5.73,5.096
Q6,-1.617,1.73,-0.725
Q7,2.188,-5.405,-1.853
Q8,-1.213,-10.762,-2.506
Q9,-4.901,0.512,-0.231
Q10,-5.147,-7.724,-0.138
Q11,3.64,-0.846,-0.171
Q12,5.044,3.027,2.502
Q13,-1.119,-6.01,-2.905
Q14,1.474,17.656,-2.053
Q15,1.555,-3.557,2.171
Q16,-3.642,-3.879,0.011
Q17,-1.905,-1.88,-0.5
Q18,5.428,-4.319,-5.159
Q19,2.036,2.914,-0.729
Q20,11.255,-12.607,2.732
Q21,-7.607,-6.351,2.931
Q22,-1.12,5.803,3.413
Q23,4.337,3.014,-0.591
Q24,4.488,2.733,-1.359
Q25,1.812,-5.092,1.312
Q26,1.295,-4.643,-1.703
Q27,-2.733,-5.85,-3.329
Q28,-1.506,6.023,2.618
Q29,-5.695,-7.336,-0.57
Q30,0.737,7.783,-3.491
Q31,-2.487,0.607,-0.187
Q32,-4.907,0.158,0.923
Q33,-47.43,9.244,16.941
Q34,10.654,6.509,1.986
Q35,-3.446,-16.775,2.318
Q36,-3.432,-2.822,1.127
Q37,-2.277,-2.32,-0.898
Q38,6.687,-1.757,2.387
Q39,-5.382,0.636,0.562
Q40,4.428,-2.675,0.638
Q41,8.641,1.056,-3.032
Q42,-8.677,-1.153,4.697
Q43,4.676,2.397,0.853
Q44,4.682,-2.251,-0.977
Q45,3.975,5.336,0.392
Q46,-2.344,4.642,-1.156
Q47,-2.83,-0.276,-0.256
Q48,2.857,-1.556,0.273
Q49,5.769,-1.946,0.66
Q50,3.357,-4.119,-0.851
Q51,-3.068,-3.701,0.116
Q52,-7.661,-7.941,-0.748
Q53,14.528,13.031,4.545
Q54,-1.897,-11.901,0.113
Q55,-3.708,-13.101,6.887
Q56,-25.536,-12.906,-8.976
Q57,1.273,9.881,-3.928
Q58,4.555,0.825,0.785
Q59,-1.745,2.499,0.93
Q60,-10.24,4.445,-0.894
Q61,3.884,13.783,1.71
Q62,-3.398,0.282,0.085
Q63,4.615,-4.558,-0.423
Q64,-1.217,3.076,0.922
Q65,-3.032,-0.897,-0.213
Q66,-2.568,0.197,0.368
Q67,-2.51,-2.825,0.843
Q68,7.05,3.185,2.498
Q69,3.22,-3.225,-0.25
Q70,-2.013,-8.312,-3.708
